report_date,model,prediction_method,prediction_column,n_rows,actual_sum_kwh,pred_sum_kwh,mean_actual_kwh,mae_kwh,rmse_kwh,wape,mape,bias_kwh_mean_pred_minus_actual,bias_pct_sum_pred_minus_actual
2026-06-05,lightgbm_school_hourly_operational,pred_lightgbm_school_hourly_operational_kwh,pred_lightgbm_school_hourly_operational_kwh,24,80408.16,81098.89247042313,3350.34,69.55797454870213,84.9086217194173,0.02076146735814936,0.02161008605373584,28.780519600964283,0.008590328026697076
2026-06-06,lightgbm_school_hourly_operational,pred_lightgbm_school_hourly_operational_kwh,pred_lightgbm_school_hourly_operational_kwh,24,59641.92,60101.1806856237,2485.08,62.17607816431056,78.91758348502002,0.025019749128523252,0.02537866390501639,19.135861900987646,0.007700300151700406
2026-06-07,lightgbm_school_hourly_operational,pred_lightgbm_school_hourly_operational_kwh,pred_lightgbm_school_hourly_operational_kwh,24,58065.84,57802.285738093466,2419.41,43.56485802347934,51.03753948003344,0.018006397437176563,0.017845995193105934,-10.981427579438806,-0.004538886579554026
2026-06-08,lightgbm_school_hourly_operational,pred_lightgbm_school_hourly_operational_kwh,pred_lightgbm_school_hourly_operational_kwh,24,78613.2,78807.66883199307,3275.5499999999997,56.696121779409246,69.36589911454743,0.017308886073914075,0.017265545089017828,8.102867999711217,0.002473742730140348
2026-06-09,lightgbm_school_hourly_operational,pred_lightgbm_school_hourly_operational_kwh,pred_lightgbm_school_hourly_operational_kwh,24,76991.76,77151.61726666782,3207.99,45.95896843726202,68.40615328186146,0.014326406390687635,0.013297292546112803,6.660719444492145,0.0020762905883410314
2026-06-10,lightgbm_school_hourly_operational,pred_lightgbm_school_hourly_operational_kwh,pred_lightgbm_school_hourly_operational_kwh,24,78500.15999999999,77826.9796847279,3270.8399999999997,42.66967666736135,51.334682881981124,0.013045479652737937,0.013594361553376497,-28.04917980300388,-0.008575527938695836
2026-06-11,lightgbm_school_hourly_operational,pred_lightgbm_school_hourly_operational_kwh,pred_lightgbm_school_hourly_operational_kwh,24,77702.4,77449.63126426336,3237.6,47.13244290362345,67.06875733639045,0.014557833859532817,0.013553333100361139,-10.532030655693745,-0.003253036402178696
2026-06-12,lightgbm_school_hourly_operational,pred_lightgbm_school_hourly_operational_kwh,pred_lightgbm_school_hourly_operational_kwh,24,77166.72,75619.56094761158,3215.28,78.1393198875523,103.98072549999742,0.024302493060496227,0.021928569561521297,-64.46496051618401,-0.020049563495615933
2026-06-13,lightgbm_school_hourly_operational,pred_lightgbm_school_hourly_operational_kwh,pred_lightgbm_school_hourly_operational_kwh,24,63441.35999999999,63149.42858379763,2643.39,35.742115903139315,43.614924196267076,0.013521317665247777,0.013422614586606737,-12.163809008431977,-0.00460159454656028
2026-06-14,lightgbm_school_hourly_operational,pred_lightgbm_school_hourly_operational_kwh,pred_lightgbm_school_hourly_operational_kwh,24,60075.36,59868.58041020678,2503.14,38.87776158030101,48.03619443419849,0.015531596946355782,0.015412727195619293,-8.615816241384172,-0.0034420033403581786
