building_name_recent,model,prediction_method,prediction_column,n_rows,actual_sum_kwh,pred_sum_kwh,mean_actual_kwh,mae_kwh,rmse_kwh,wape,nmae,bias_kwh_mean_pred_minus_actual,bias_pct_sum_pred_minus_actual
제3과학관,naive_last_week_same_weekday,pred_naive_last_week_same_weekday_kwh,pred_naive_last_week_same_weekday_kwh,70,62772.0,61373.0,896.7428571428571,138.12857142857143,206.11456592321244,0.15403364557445995,0.15403364557445995,-19.985714285714284,-0.022287006945772
화공관,naive_last_week_same_weekday,pred_naive_last_week_same_weekday_kwh,pred_naive_last_week_same_weekday_kwh,70,176969.0,174495.0,2528.1285714285714,231.57142857142858,297.91115645919865,0.09159796348513016,0.09159796348513018,-35.34285714285714,-0.013979849578174709
건축관,current_realtime_uniform_daily,pred_realtime_uniform_daily_kwh,pred_realtime_uniform_daily_kwh,70,72933.0,66689.71666666666,1041.9,222.14796466973883,275.63604574400216,0.21321428608286672,0.2132142860828667,-89.18976190476192,-0.0856029963573874
기계관,current_realtime_uniform_daily,pred_realtime_uniform_daily_kwh,pred_realtime_uniform_daily_kwh,70,136365.0,139739.2333333333,1948.0714285714287,408.65536098310287,494.9843091944373,0.20977432089478387,0.20977432089478384,48.20333333333336,0.024744130336474428
박물관,current_realtime_uniform_daily,pred_realtime_uniform_daily_kwh,pred_realtime_uniform_daily_kwh,70,42142.0,50607.666666666686,602.0285714285715,161.47634408602156,207.33668759418688,0.268220399744234,0.26822039974423395,120.93809523809526,0.20088431177131288
사범대학,current_realtime_uniform_daily,pred_realtime_uniform_daily_kwh,pred_realtime_uniform_daily_kwh,70,65392.0,62466.66666666666,934.1714285714286,167.12012288786482,191.7073133952291,0.17889663264849734,0.17889663264849734,-41.790476190476184,-0.04473533969496778
상경관,current_realtime_uniform_daily,pred_realtime_uniform_daily_kwh,pred_realtime_uniform_daily_kwh,70,145964.0,153300.0,2085.2,490.5410138248848,619.4898793354726,0.23524890361830272,0.23524890361830275,104.79999999999995,0.0502589679647036
생활과학대,current_realtime_uniform_daily,pred_realtime_uniform_daily_kwh,pred_realtime_uniform_daily_kwh,70,77614.0,70820.11666666665,1108.7714285714285,202.36361751152072,242.56742161469631,0.18251157298691537,0.1825115729869154,-97.05547619047618,-0.08753425069360339
섬유관,current_realtime_uniform_daily,pred_realtime_uniform_daily_kwh,pred_realtime_uniform_daily_kwh,70,76228.0,74235.19999999998,1088.9714285714285,171.4500460829493,199.8443182405397,0.1574421895603512,0.15744218956035122,-28.4685714285714,-0.026142624757307
외국어교육원,current_realtime_uniform_daily,pred_realtime_uniform_daily_kwh,pred_realtime_uniform_daily_kwh,70,30950.0,29271.666666666664,442.14285714285717,134.44777265745006,140.92716377260734,0.30408219987145413,0.3040821998714541,-23.97619047619047,-0.05422724824986536
음대,current_realtime_uniform_daily,pred_realtime_uniform_daily_kwh,pred_realtime_uniform_daily_kwh,70,42136.0,42850.0,601.9428571428572,87.63410138248848,111.66925736958518,0.14558541619456505,0.14558541619456505,10.199999999999994,0.016945130055059796
인문계식당,current_realtime_uniform_daily,pred_realtime_uniform_daily_kwh,pred_realtime_uniform_daily_kwh,70,28526.0,19941.66666666667,407.51428571428573,181.23517665130572,208.04798535171966,0.44473330875662204,0.44473330875662204,-122.63333333333331,-0.3009301455981677
전기관,current_realtime_uniform_daily,pred_realtime_uniform_daily_kwh,pred_realtime_uniform_daily_kwh,70,78682.33333333334,71819.08333333337,1124.0333333333335,195.88721198156682,241.95516763166654,0.1742717107869578,0.1742717107869578,-98.04642857142855,-0.08722733184492916
제1공장형실습장,current_realtime_uniform_daily,pred_realtime_uniform_daily_kwh,pred_realtime_uniform_daily_kwh,70,55797.0,55083.333333333314,797.1,121.59831029185867,151.8770753989753,0.1525508848223042,0.1525508848223042,-10.195238095238134,-0.012790412865685778
제1과학관,current_realtime_uniform_daily,pred_realtime_uniform_daily_kwh,pred_realtime_uniform_daily_kwh,70,183967.68181818182,185147.4166666666,2628.10974025974,351.92593562351624,469.89515172858836,0.13390838678933353,0.13390838678933356,16.853354978355096,0.0064127287838024035
제2공장형실습장,current_realtime_uniform_daily,pred_realtime_uniform_daily_kwh,pred_realtime_uniform_daily_kwh,70,29283.0,25811.66666666667,418.3285714285714,139.5268817204301,160.21394010891416,0.3335341911836256,0.3335341911836256,-49.590476190476195,-0.11854432036790402
