metric_level,prediction_method,building_name_recent,n_days,actual_sum_kwh_clean,pred_sum_kwh,mae_kwh,rmse_kwh,mape,bias_kwh_mean,bias_pct_sum,report_month
building_month,baseline_uniform_daily_kwh,제3과학관,23.0,24852.0,27216.666666666657,191.01449275362313,227.35424273767413,0.2014100918371504,102.81159420289849,0.09514995439669471,2026-06
building_month,baseline_uniform_daily_kwh,화공관,30.0,74592.0,68000.0,331.86666666666684,355.41034187416545,0.13299926640030352,-219.73333333333358,-0.08837408837408837,2026-04
building_month,baseline_uniform_daily_kwh,화공관,31.0,73353.0,64000.0,358.1342351716962,437.73021711559574,0.14183465654055757,-301.70967741935493,-0.1275067141084891,2026-05
building_month,baseline_uniform_daily_kwh,화공관,23.0,63731.0,59800.0,328.30434782608694,371.2159221660154,0.11576089747105911,-170.91304347826087,-0.06168112849319797,2026-06
building_total_2026-04-01_to_2026-06-23,baseline_school_shape_kwh_observed_norm,건축관,84.0,86971.0,86704.0,209.20121706953483,270.76922940551276,0.2011604555867684,-3.178571428571423,-0.003069988846856998,
building_total_2026-04-01_to_2026-06-23,baseline_school_shape_kwh_observed_norm,기계관,84.0,162841.0,184535.5,327.9055461029766,430.246946020483,0.18116998436838377,258.26785714285717,0.13322504774596078,
building_total_2026-04-01_to_2026-06-23,baseline_school_shape_kwh_observed_norm,박물관,84.0,50529.0,65985.5,194.9104337069544,325.4929460789954,0.2964426948437422,184.0059523809524,0.3058936452334303,
building_total_2026-04-01_to_2026-06-23,baseline_school_shape_kwh_observed_norm,사범대학,84.0,78802.0,83000.0,115.22144214440856,154.1306508730022,0.12384739213353106,49.976190476190474,0.05327275957463008,
building_total_2026-04-01_to_2026-06-23,baseline_school_shape_kwh_observed_norm,상경관,84.0,171864.0,199500.0,406.1504205893841,565.6542433413604,0.2246829602192691,329.0,0.16080156402737047,
building_total_2026-04-01_to_2026-06-23,baseline_school_shape_kwh_observed_norm,생활과학대,84.0,96063.0,93353.0,231.2149840772104,264.5466140250162,0.20099760270588546,-32.26190476190476,-0.028210653425356277,
building_total_2026-04-01_to_2026-06-23,baseline_school_shape_kwh_observed_norm,섬유관,84.0,93516.0,97838.5,131.9479471706794,174.9024831723241,0.12188325163975082,51.45833333333336,0.046222036870695926,
building_total_2026-04-01_to_2026-06-23,baseline_school_shape_kwh_observed_norm,외국어교육원,84.0,38542.0,38499.99999999999,93.86705251087027,104.99036620783446,0.23993942965057322,-0.4999999999999966,-0.0010897203051218741,
building_total_2026-04-01_to_2026-06-23,baseline_school_shape_kwh_observed_norm,음대,84.0,50904.0,56500.0,101.52053216595485,141.71414438918168,0.17133769563869816,66.61904761904762,0.10993242181360993,
building_total_2026-04-01_to_2026-06-23,baseline_school_shape_kwh_observed_norm,인문계식당,84.0,33526.0,25950.000000000004,126.42521819246821,154.37296491240068,0.31036691919879394,-90.19047619047622,-0.22597387102547267,
building_total_2026-04-01_to_2026-06-23,baseline_school_shape_kwh_observed_norm,전기관,84.0,95905.33333333334,94082.00000000001,172.6952938737391,216.03116112517307,0.2621751666845978,-21.70634920634921,-0.019011803306037845,
building_total_2026-04-01_to_2026-06-23,baseline_school_shape_kwh_observed_norm,제1공장형실습장,84.0,65402.0,72000.0,135.20284795286122,177.61067247524218,0.16360976778740308,78.54761904761907,0.10088376502247638,
building_total_2026-04-01_to_2026-06-23,baseline_school_shape_kwh_observed_norm,제1과학관,84.0,222866.43181818182,242358.99999999997,386.4531174938608,601.0297562187804,0.18652414598801878,232.0543831168831,0.08746300653173517,
building_total_2026-04-01_to_2026-06-23,baseline_school_shape_kwh_observed_norm,제2공장형실습장,84.0,35782.0,33989.99999999999,105.72853997720482,127.13738205949012,0.2633488132702594,-21.333333333333325,-0.05008104633614687,
building_total_2026-04-01_to_2026-06-23,baseline_school_shape_kwh_observed_norm,제2인문관,84.0,21938.0,25582.0,52.32745586409603,67.32074638181999,0.20440694293395845,43.380952380952394,0.16610447625125352,
building_total_2026-04-01_to_2026-06-23,baseline_school_shape_kwh_observed_norm,제3과학관,84.0,76130.0,87000.0,178.46474495494772,263.8967735669911,0.18519039132559287,129.40476190476187,0.1427820832786024,
building_total_2026-04-01_to_2026-06-23,baseline_school_shape_kwh_observed_norm,화공관,84.0,211676.0,210000.00000000003,372.55644640549474,436.78716450713426,0.14506726874559245,-19.952380952380953,-0.007917761106596737,
building_month,baseline_school_shape_kwh_observed_norm,건축관,30.0,26928.0,24703.499999999996,151.981739956784,188.82644839414598,0.16399017272294739,-74.15,-0.08260918003565076,2026-04
building_month,baseline_school_shape_kwh_observed_norm,건축관,31.0,30871.0,25631.999999999996,185.37317087492804,226.48726188965034,0.169967090180588,-168.99999999999997,-0.16970619675423548,2026-05
building_month,baseline_school_shape_kwh_observed_norm,건축관,23.0,29172.0,36368.5,315.9513799136798,390.0216408521468,0.29168666486964784,312.89130434782606,0.24669203345673935,2026-06
building_month,baseline_school_shape_kwh_observed_norm,기계관,30.0,55781.0,60936.5,181.64248507566026,211.91268989855556,0.11262243887847287,171.85000000000005,0.09242394363672218,2026-04
building_month,baseline_school_shape_kwh_observed_norm,기계관,31.0,53131.0,53488.00000000001,190.73520388323308,227.68651274886253,0.13047886415611293,11.516129032258108,0.006719241121002941,2026-05
building_month,baseline_school_shape_kwh_observed_norm,기계관,23.0,53929.0,70110.99999999999,703.5652173913041,740.0105542171822,0.33890264051089347,703.5652173913041,0.30006119156668926,2026-06
building_month,baseline_school_shape_kwh_observed_norm,박물관,30.0,16863.0,17925.0,42.17566957457017,53.33958780576601,0.08371782973093263,35.4,0.06297811777263831,2026-04
building_month,baseline_school_shape_kwh_observed_norm,박물관,31.0,17462.0,18005.5,40.52278529506652,49.088025990133744,0.07759677441504358,17.532258064516135,0.03112472798075822,2026-05
building_month,baseline_school_shape_kwh_observed_norm,박물관,23.0,16204.0,30055.000000000004,602.2173913043479,616.4196500966345,0.8688761507860875,602.2173913043479,0.8547889410022219,2026-06
building_month,baseline_school_shape_kwh_observed_norm,사범대학,30.0,28876.0,29499.999999999996,63.02816834281704,79.57097921532127,0.07021260233928779,20.79999999999998,0.02160964122454621,2026-04
building_month,baseline_school_shape_kwh_observed_norm,사범대학,31.0,26506.0,24500.0,71.21793838212282,97.3532498356711,0.07355937944840087,-64.70967741935483,-0.07568097789179809,2026-05
building_month,baseline_school_shape_kwh_observed_norm,사범대학,23.0,23420.0,29000.0,242.6086956521739,256.37710831624975,0.26158530896250204,242.6086956521739,0.23825789923142612,2026-06
building_month,baseline_school_shape_kwh_observed_norm,상경관,30.0,56226.0,60000.00000000001,146.98340208609068,200.8895588383,0.09622009816701217,125.79999999999997,0.06712197204140447,2026-04
building_month,baseline_school_shape_kwh_observed_norm,상경관,31.0,59362.0,61500.00000000001,257.52042796534005,307.3747739827475,0.1630488153376283,68.96774193548387,0.03601630672821009,2026-05
building_month,baseline_school_shape_kwh_observed_norm,상경관,23.0,56276.0,78000.0,944.5217391304348,994.2766976711088,0.47531532338877214,944.5217391304348,0.386026014642121,2026-06
building_month,baseline_school_shape_kwh_observed_norm,생활과학대,30.0,36365.0,29717.5,221.5833333333333,245.05786239453678,0.17811962706648807,-221.5833333333333,-0.18279939502268666,2026-04
